movieId,actors,director,music,screenwriter
76,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Pöschl', 'Karl Bruckschwaiger', 'Tex Rubinowitz', 'Erni Mangold', 'Dominik Castell', 'Haymon Maria Buttinger', 'Harold Waiglein', 'Bilge Jeschim', 'Kurti', 'Hans Weingartner', 'Liese Lyon', 'Peter Ily Huemer', 'Otto Reiter', 'Hubert Fabian Kulterer', 'Branko Andric', 'Constanze Schweiger', 'John Sloss', 'Alexandra Seibel', 'Georg Schöllhammer', 'Christian Ankowitsch', 'Wilbirg Reiter', 'Barbara Klebel', 'Wolfgang Staribacher', 'Wolfgang Glüxam']",['Richard Linklater'],['Fred Frith'],"['Richard Linklater', 'Kim Krizan']"
1909,"['Johnny Depp', 'Marlon Brando', 'Faye Dunaway', 'Géraldine Pailhas', 'Bob Dishy', 'Rachel Ticotin', 'Talisa Soto', 'Stephen Singer', 'Джо Чампа', 'Marita Geraghty', 'Richard C. Sarafian', 'Tresa Hughes', 'Carmen Argenziano']",['Jeremy Leven'],"['Michael Kamen', 'Robert John Lange']",['Jeremy Leven']
8984,"['Michael Douglas', 'Demi Moore', 'Donald Sutherland', 'Dylan Baker', 'Jacqueline Kim', 'Roma Maffia', 'Caroline Goodall', 'Rosemary Forsyth', 'Dennis Miller', 'Suzie Plakson', 'Nicholas Sadler', 'Donal Logue']",['Barry Levinson'],[],['Paul Attanasio']
628,"['Brad Pitt', 'Tom Cruise', 'Kirsten Dunst', 'Antonio Banderas', 'Christian Slater', 'Stephen Rea', 'Thandie Newton', 'Domiziana Giordano', 'Sara Stockbridge', 'Indra Ové', 'Laure Marsac', 'Andrew Tiernan', 'Bellina Logan', 'George Kelly', 'Helen McCrory']",['Neil Jordan'],['Elliot Goldenthal'],['Anne Rice']
11,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Peter Cushing', 'Alec Guinness', 'Anthony Daniels', 'Kenny Baker', 'Peter Mayhew', 'David Prowse', 'James Earl Jones', 'Phil Brown', 'Shelagh Fraser', 'Jack Purvis', 'Eddie Byrne', 'Denis Lawson', 'Garrick Hagon', 'Don Henderson', 'Leslie Schofield', 'Richard LeParmentier', 'Michael Leader', 'Alex McCrindle', 'Drewe Henley', 'Jack Klaff', 'William Hootkins', 'Angus MacInnes', 'Jeremy Sinden', 'Graham Ashley', 'David Ankrum', 'Mark Austin', 'Scott Beach', 'Lightning Bear', 'Jon Berg', 'Doug Beswick', 'Paul Blake', 'Janice Burchette', 'Ted Burnett', 'John Chapman', 'Gilda Cohen', 'Tim Condren', 'Barry Copping', 'Alfie Curtis', 'Robert Davies', 'Maria De Aragon', 'Robert A. Denham', 'Frazer Diamond', 'Peter Diamond', 'Warwick Diamond', 'Sadie Eden', 'Kim Falkinburg', 'Harry Fielder', 'Ted Gagliano', 'Salo Gardner', 'Steve Gawley', 'Barry Gnome', 'Rusty Goffe', 'Isaac Grand', 'Nelson Hall', 'Reg Harding', 'Alan Harris', 'Frank Henson', 'Christine Hewett', 'Arthur Howell', 'Tommy Ilsley', 'Joe Johnston', 'Annette Jones', 'Linda Jones', 'Joe Kaye', 'Colin Michael Kitchens', 'Melissa Kurtz', 'Tiffany L. Kurtz', 'Al Lampert', 'Anthony Lang', 'Laine Liska', 'Derek Lyons', 'Mahjoub', 'Alf Mangan', 'Rick McCallum', 'Grant McCune', 'Geoffrey Moon', 'Mandy Morton', 'Lorne Peterson', 'Marcus Powell', 'Shane Rimmer', 'Pam Rose', 'George Roubicek', 'Erica Simmons', 'Angela Staines', 'George Stock', 'Roy Straite', 'Peter Sturgeon', 'Peter Sumner', 'John Sylla', 'Tom Sylla', 'Malcolm Tierney', 'Phil Tippett', 'Burnell Tucker', 'Morgan Upton', 'Jerry Walter', 'Hal Wamsley', 'Larry Ward', 'Diana Sadley Way', 'Harold Weed', 'Bill Weston', ""Steve 'Spaz' Williams"", 'Fred Wood', 'Colin Higgins']",['George Lucas'],['John Williams'],[]
1945,"['Jodie Foster', 'Liam Neeson', 'Natasha Richardson', 'Richard Libertini', 'Robin Mullins', 'Nick Searcy', 'Jeremy Davies', ""O'Neal Compton"", 'Joe Inscoe', 'Stephanie Dawn Wood', 'Heather M. Bomba', 'Marianne E. Bomba', 'Sean Bridgers', 'Mary Lynn Riner', 'Lucile McIntyre', 'Al Wiggins', 'Beth Bostic', 'Rob Buren III', 'Chris T. Hill', 'Tim Mehaffey', 'Dana Stevens', 'Nicole Adair', 'Robin Rochelle', 'Susan Correll Hickerson', 'Marlon Jackson', 'Danny Millsaps']",['Michael Apted'],['Mark Isham'],"['William Nicholson', 'Mark Handley']"
527,"['Rena Owen', 'Temuera Morrison', 'Mamaengaroa Kerr-Bell', 'Julian Arahanga', 'Taungaroa Emile', 'Rachael Morris Jr.', 'Joseph Kairau', 'Cliff Curtis', 'Pete Smith', 'George Henare', 'Mere Boynton', 'Shannon Williams', 'Calvin Tuteao', 'Ray Bishop', 'Ian Mune', 'Robert Pollock']",['Lee Tamahori'],"['Murray Grindlay', 'Murray McNabb']",['Riwia Brown']
101,"['Jean Reno', 'Natalie Portman', 'Gary Oldman', 'Danny Aiello', 'Peter Appel', 'Michael Badalucco', 'Ellen Greene', 'Elizabeth Regen', 'Carl J. Matusovich', 'Eric Challier', 'Willi One Blood', 'Don Creech', 'Keith A. Glascoe', 'Jernard Burks', 'Matt De Matt', 'Frank Senger', 'Stuart Rudin', ""Lucius Wyatt 'Cherokee'"", 'Maïwenn', 'Luc Bernard', 'Joseph Malerba', 'Adam Busch', 'Jessie Keosian', 'George Martin', 'Alex Dezen', 'Kent Broadhurst', 'Tommy Hollis', 'Peter Linari', 'Arsène Jiroyan', 'Geoffrey Bateman', 'Samy Naceri', 'Michel Montanary', 'Marc Andréoni', 'Gilles Kleber', 'Christophe Gautier', 'Junior Almeida', 'David Gregg', 'Didier Legros', 'Hervé Husson']",['Luc Besson'],['Eric Serra'],['Luc Besson']
110,"['Irène Jacob', 'Jean-Louis Trintignant', 'Jean-Pierre Lorit', 'Frédérique Feder', 'Samuel Le Bihan', 'Marion Stalens', 'Zbigniew Zamachowski', 'Juliette Binoche', 'Julie Delpy', 'Benoît Régent']",['Krzysztof Kieślowski'],"['Zbigniew Preisner', 'Bertrand Lenclos']","['Krzysztof Kieślowski', 'Krzysztof Piesiewicz']"
193,"['Patrick Stewart', 'Jonathan Frakes', 'Brent Spiner', 'LeVar Burton', 'Michael Dorn', 'Gates McFadden', 'Marina Sirtis', 'William Shatner', 'James Doohan', 'Walter Koenig', 'Malcolm McDowell', 'Alan Ruck', 'Whoopi Goldberg', 'Thomas Dekker', 'Cameron Oppenheimer', 'Jenette Goldstein', 'Tim Russ']",['David Carson'],['Dennis McCarthy'],"['Ronald D. Moore', 'Brannon Braga']"
1587,"['Johnny Depp', 'Leonardo DiCaprio', 'Juliette Lewis', 'Darlene Cates', 'Mary Steenburgen', 'Laura Harrington', 'Mary Kate Schellhardt', 'John C. Reilly', 'Kevin Tighe', 'Crispin Glover', 'Robert B. Hedges', 'George Haynes', 'Cameron Finley', 'Mona Lee Fultz', 'Penelope Branning', 'Kay Bower', 'Tim Simek', 'Joe Stevens', 'Tim Green', 'Susan Loughran', 'Brady Coleman', 'Mark Jordan', 'Nicholas Stojanovich', 'Daniel Gullahorn', 'Libby Villari']",['Lasse Hallström'],[],['Peter Hedges']
2064,"['Sandra Bullock', 'Bill Pullman', 'Peter Gallagher', 'Peter Boyle', 'Jack Warden', 'Glynis Johns', 'Micole Mercurio', 'Monica Keena', 'Susan Messing', 'Marcia Wright']",['Jon Turteltaub'],['Randy Edelman'],"['Daniel G. Sullivan', 'Fredric LeBow']"
236,"['Toni Collette', 'Bill Hunter', 'Rachel Griffiths', 'Sophie Lee', 'Roz Hammond', 'Belinda Jarrett', 'Pippa Grandison', 'Jeanie Drynan', 'Daniel Wyllie', 'Gabby Millgate', 'Gennie Nevinson', 'Matt Day', 'Chris Haywood', 'Daniel Lapaine']",['P.J. Hogan'],['Peter Best'],[]
2759,"['Terence Stamp', 'Hugo Weaving', 'Guy Pearce', 'Bill Hunter', 'Sarah Chadwick', 'June Marie Bennett']",['Stephan Elliott'],['Guy Gross'],['Stephan Elliott']
1689,"['Keanu Reeves', 'Bridget Fonda', 'Chris Isaak', 'Ruocheng Ying', 'Alex Wiesendanger', 'Raju Lal', 'Greishma Makar Sing', 'Sogyal Rinpoche', 'Khyongla Rato Rinpoche', 'Geshe Tsultim Gyelsen', 'Джо Чампа', 'Jigme Kunsang']",['Bernardo Bertolucci'],['Ryuichi Sakamoto'],[]
2788,"['Winona Ryder', 'Ben Stiller', 'Janeane Garofalo', 'Steve Zahn', 'Ethan Hawke', 'Swoosie Kurtz', 'Joe Don Baker', 'John Mahoney', 'Anne Meara', ""Harry O'Reilly"", 'Barry Del Sherman', 'Keith David', 'Renée Zellweger', 'Susan Norfleet', 'James Rothenberg', 'Eric Morgan Stuart', 'Chelsea Lagos']",['Ben Stiller'],[],['Helen Childress']
315,"['Tura Satana', 'Haji', 'Lori Williams', 'Sue Bernard', 'Stuart Lancaster', 'Paul Trinka', 'Dennis Busch', 'Ray Barlow', 'John Furlong', 'Michael Finn']",['Russ Meyer'],"['Paul Sawtell', 'Bert Shefter']","['Russ Meyer', 'Jack Moran']"
306,"['Eddie Murphy', 'Judge Reinhold', 'Héctor Elizondo', 'Gilbert R. Hill', 'Timothy Carhart', 'Bronson Pinchot', 'Stephen McHattie', 'Theresa Randle', 'John Saxon', 'Jon Tenney', 'Joey Travolta', 'Eugene Collier', 'Jimmy Ortega', 'Ousaun Elam', 'Ray Lykins', 'Tim Gilbert', 'Julie Strain', 'Heather Elizabeth Parkhurst', 'Joe Dante', 'Ray Harryhausen', 'Arthur Hiller', 'George Lucas', 'Peter Medak']",['John Landis'],['Nile Rodgers'],"['Danilo Bach', 'Daniel Petrie, Jr.']"
2124,"['Bruce Willis', 'Jane March', 'Rubén Blades', 'Lesley Ann Warren', 'Scott Bakula', 'Brad Dourif', 'Lance Henriksen', ""Kevin J. O'Connor"", 'Andrew Lowery', 'Eriq La Salle', 'Jeff Corey', 'Kathleen Wilhoite', 'Shirley Knight', 'John Bower', 'Avi Korein']",['Richard Rush'],['Dominic Frontiere'],"['Billy Ray', 'Matthew Chapman']"
2087,"['Alec Baldwin', 'Kim Basinger', 'Michael Madsen', 'James Woods', 'David Morse', 'Jennifer Tilly', 'James Stephens', 'Philip Seymour Hoffman', 'Richard Farnsworth', 'Burton Gilliam', 'Elske McCain']",['Roger Donaldson'],['Mark Isham'],"['Walter Hill', 'Amy Holden Jones']"
2019,"['Jean-Claude Van Damme', 'Arnold Vosloo', 'Lance Henriksen', 'Yancy Butler', 'Sven-Ole Thorsen', 'Wilford Brimley', 'Ted Raimi', 'Kasi Lemmons', 'Willie C. Carpenter', 'Eliott Keener', 'Chuck Pfarrer', 'Robert Apisa', 'Douglas Forsythe Rye', 'Mike Leinert', 'Lenore Banks', 'Barbara Tasker']",['John Woo'],"['Graeme Revell', 'Tim Simonec']",['Chuck Pfarrer']
2259,"['Meryl Streep', 'Glenn Close', 'Jeremy Irons', 'Winona Ryder', 'Antonio Banderas', 'Armin Mueller-Stahl', 'Vanessa Redgrave', 'María Conchita Alonso', 'Jan Niklas', 'Vincent Gallo', 'Grace Gummer', 'Fran Fullenwider', 'Pedro Efe', 'Miguel Guilherme', 'José Mora Ramos', 'Anabela Teixeira']",['Bille August'],['Hans Zimmer'],['Bille August']
6,"['Emilio Estevez', 'Cuba Gooding Jr.', 'Denis Leary', 'Jeremy Piven', 'Peter Greene', 'Michael DeLorenzo', 'Everlast', 'Michael Wiseman', 'Relioues Webb', 'Eugene Williams', 'Christine Harnos', 'Galyn Görg', 'Angela Alvarado', 'Stephen Dorff', 'Will Zahrn']",['Stephen Hopkins'],['Alan Silvestri'],['Lewis Colick']
329,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough', 'Bob Peck', 'Martin Ferrero', 'BD Wong', 'Joseph Mazzello', 'Ariana Richards', 'Samuel L. Jackson', 'Wayne Knight', 'Gerald R. Molen', 'Miguel Sandoval', 'Cameron Thor', 'Christopher John Fields', 'Whit Hertford', 'Dean Cundey', 'Jophery C. Brown', 'Tom Mishler', 'Greg Burson', 'Adrian Escober', 'Richard Kiley', 'Brad M. Bucklin', 'Laura Burnett', 'Gary Rodriguez', 'Brian Smrz', ""Robert 'Bobby Z' Zajonc""]",['Steven Spielberg'],['John Williams'],"['Michael Crichton', 'David Koepp']"
507,"['Eric Stoltz', 'Julie Delpy', 'Jean-Hugues Anglade', 'Tai Thai', 'Bruce Ramsay', 'Kario Salem', 'Salvator Xuereb', 'Gary Kemp', 'Martin Raymond', 'Eric Pascal Chaltiel', 'Cecilia Peck']",['Roger Avary'],[],[]
788,"['Robin Williams', 'Sally Field', 'Pierce Brosnan', 'Harvey Fierstein', 'Polly Holliday', 'Lisa Jakub', 'Matthew Lawrence', 'Mara Wilson', 'Robert Prosky', 'Anne Haney', 'Scott Capurro', 'Sydney Walker', 'Martin Mull', 'Terence McGovern', 'Karen Kahn', 'Eva Gholson', 'James Cunningham', 'Ralph Peduto', 'Scott Beach', 'Juliette Marshall', 'Drew Letchworth', 'Jessica Myerson', 'Sharon Lockwood', 'Jim Cullen', 'Joe Bellan']",['Chris Columbus'],['Howard Shore'],"['Randi Mayem Singer', 'Leslie Dixon']"
1245,"['Anthony Hopkins', 'Emma Thompson', 'James Fox', 'Christopher Reeve', 'Hugh Grant', 'Peter Vaughan', 'Ben Chaplin', 'Paula Jacobs', 'Patrick Godfrey', 'Michael Lonsdale', 'Rupert Vansittart', 'Tim Pigott-Smith', 'Lena Headey', 'Paul Copley', 'Peter Cellier', 'Brigitte Kahn', 'John Savident', 'Pip Torrens', 'Peter Eyre', 'Wolf Kahler', 'Abigail Hopkins', 'John Haycraft', 'Caroline Hunt', 'Steve Dibben', 'Terence Bayler', 'Peter Halliday', 'Jeffry Wickham', 'Tony Aitken', 'Christopher Brown', 'Ian Redford', 'Jo Kendall', 'Steven Beard', 'Miles Richardson']",['James Ivory'],['Richard Robbins'],['Ruth Prawer Jhabvala']
2088,"['Gary Oldman', 'Lena Olin', 'Annabella Sciorra', 'Juliette Lewis', 'Roy Scheider', 'David Proval', 'Will Patton', 'Larry Joshua', 'James Cromwell', 'Wallace Wood', 'Gene Canfield', 'William Duff-Griffin', 'Paul Butler', 'Tony Sirico', 'Michael Wincott', 'Dennis Farina', 'Ron Perlman']",['Peter Medak'],['Mark Isham'],['Hilary Henkin']
858,"['Tom Hanks', 'Meg Ryan', 'Bill Pullman', 'Ross Malinger', ""Rosie O'Donnell"", 'Gaby Hoffmann', 'Victor Garber', 'Rita Wilson', 'Barbara Garrick', 'Rob Reiner', 'Carey Lowell', 'David Hyde Pierce', 'Dana Ivey', 'Tom Riis Farrell', 'Le Clanché du Rand', ""Kevin O'Morrison"", 'Valerie Wright', 'Frances Conroy', 'Tom Tammi', 'Calvin Trillin', 'Caroline Aaron', 'Linda Wallem', 'Victor Morris']",['Nora Ephron'],['Marc Shaiman'],"['Nora Ephron', 'David S. Ward', 'Jeff Arch']"
319,"['Christian Slater', 'Patricia Arquette', 'Michael Rapaport', 'Bronson Pinchot', 'Gary Oldman', 'Dennis Hopper', 'Christopher Walken', 'Brad Pitt', 'Tom Sizemore', 'Samuel L. Jackson', 'Saul Rubinek', 'James Gandolfini', 'Frank Adonis', 'Paul Bates', 'Val Kilmer', 'Chris Penn', 'Anna Levine', 'Eric Allan Kramer', 'Conchata Ferrell', 'Victor Argo', 'Said Faraj', 'Gregory Sporleder', 'Maria Pitillo', 'Kevin Corrigan', 'Paul Ben-Victor', 'Michael Beach', ""Joe D'Angerio"", 'John Bower', 'John Cenatiempo', 'Patrick John Hurley', 'Dennis Garber', 'Scott Evers', 'Hilary Klym', 'Steve Gonzales', 'Laurence Mason', 'David Dean', 'April Freeman', 'Ed Lauter', 'Enzo Rossi', 'Nancy Young']",['Tony Scott'],['Hans Zimmer'],"['Quentin Tarantino', 'Roger Avary']"
280,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Robert Patrick', 'Edward Furlong', 'Michael Edwards', 'Joe Morton', 'Earl Boen', 'Jenette Goldstein', 'Xander Berkeley', 'S. Epatha Merkerson', 'Castulo Guerra', 'Danny Cooksey', 'Sven-Ole Thorsen', 'DeVaughn Nixon', 'Ken Gibbel', 'Robert Winley', 'Pete Schrum', 'Don Lake', 'Richard Vidan', 'Jim Palmer', 'Don Stanton', 'Dan Stanton', 'Colin Patrick Lynch', 'Nikki Cox', 'Tony Simotes', 'Abdul Salaam El Razzac', 'Mike Muscat', 'Dean Norris', 'Charles A. Tamburro', 'Terrence Evans', 'Denney Pierce', 'Mark Christopher Lawrence', 'Van Ling', 'Gerard G. Williams', 'Martin DeLuca', 'Scott Shaw', 'Joel Kramer', 'Richard Ruskin', 'Randy Walker', 'William Wisher Jr.', 'Nancy Fish', 'Dalton Hamilton']",['James Cameron'],['Brad Fiedel'],[]
581,"['Kevin Costner', 'Mary McDonnell', 'Graham Greene', 'Rodney A. Grant', 'Floyd Red Crow Westerman', 'Tantoo Cardinal', 'Robert Pastorelli', 'Charles Rocket', 'Maury Chaykin', 'Jimmy Herman', 'Nathan Lee Chasing His Horse', 'Michael Spears', 'Jason R. Lone Hill', 'Tony Pierce', 'Doris Leader Charge', 'Tom Everett', 'Larry Joshua', 'Kirk Baltz', 'Wayne Grace', 'Donald Hotton', 'Annie Costner', 'Elisa Daniel', 'Percy White Plume', 'John Tail', 'Steve Reevis', 'Sheldon Peters Wolfchild', 'Wes Studi', 'Buffalo Child', 'Clayton Big Eagle', 'Richard Leader Charge', 'Redwing Ted Nez', 'Marvin Holy', 'Raymond Newholy', 'David J. Fuller', 'Ryan White Bull', 'Otakuye Conroy', 'Maretta Big Crow', 'Steven Chambers', 'William H. Burton Jr.', 'Bill W. Curry', 'Nick Thompson', 'Carter Hanner', 'Kent Hays', 'Robert Goldman', 'Frank P. Costanza', 'James A. Mitchell', 'R. L. Curtin', 'Justin', 'Teddy', 'Buck', 'Conor Duffy', 'R.L. Curtin', 'Michael Horton', 'J. Wesley Adams', 'Bill Costner', 'Jim Wilson', 'William Rossman']",['Kevin Costner'],['John Barry'],['Michael Blake']
2021,"['Richard E. Grant', 'Samantha Mathis', 'Judi Dench', 'Eileen Atkins', 'Cherie Lunghi', 'Imogen Stubbs', 'David Swift', 'Kate Hardie', 'Laurent Grévill', 'Ian McKellen', 'Niven Boyd', 'Lorraine Ashbourne', 'Deborah Findlay', 'Tracy Thorne', 'Tracy Thorne', 'John Grillo', 'Claire Toeman', 'Geff Francis', 'Richard Leaf', 'Andrew Read']",['Tim Sullivan'],['Simon Boswell'],['Tim Sullivan']
954,"['Tom Cruise', 'Jon Voight', 'Emmanuelle Béart', 'Henry Czerny', 'Jean Reno', 'Ving Rhames', 'Kristin Scott Thomas', 'Vanessa Redgrave', 'Dale Dye', 'Marcel Iureș', 'Ion Caramitru', 'Ingeborga Dapkunaite', 'Valentina Yakunina', 'Marek Vašut', 'Nathan Osgood', 'Emilio Estevez', 'Michael Rogers', 'Keith Campbell', 'John McLaughlin', 'Karel Dobrý', 'Andreas Wisniewski', 'Ricco Ross', 'Mark Houghton', 'Annabel Mullion', 'Garrick Hagon', 'Olegar Fedoro', 'David Schneider', 'Helen Lindsay', 'John Knoll', 'Rolf Saxon']",['Brian De Palma'],['Danny Elfman'],"['David Koepp', 'Steven Zaillian', 'Robert Towne']"
2300,"['Michael Jordan', 'Wayne Knight', 'Billy West', 'Dee Bradley Baker', 'Theresa Randle', 'Danny DeVito', 'Brandon Hammond', 'Larry Bird', 'Bill Murray', 'Charles Barkley', 'Patrick Ewing', 'Tyrone Bogues', 'Larry Johnson', 'Shawn Bradley', 'Ahmad Rashad', 'Del Harris', 'Vlade Divac', 'Cedric Ceballos', 'Jim Rome', 'Paul Westphal', 'Danny Ainge', 'Alonzo Mourning', 'A.C. Green', 'Charles Oakley', 'Derek Harper', 'Jeff Malone', 'Anthony Miller', 'Sharone Wright']",['Joe Pytka'],['James Newton Howard'],[]
922,"['Johnny Depp', 'Gary Farmer', 'Crispin Glover', 'Lance Henriksen', 'Michael Wincott', 'Eugene Byrd', 'John Hurt', 'Robert Mitchum', 'Iggy Pop', 'Gabriel Byrne', 'Jared Harris', 'Mili Avital', 'Jimmie Ray Weeks', 'Mark Bringelson', 'John North', 'Alfred Molina', 'Billy Bob Thornton', 'Michelle Thrush']",['Jim Jarmusch'],['Neil Young'],['Jim Jarmusch']
532,"['Peter Sallis', 'Anne Reid']",['Nick Park'],['Julian Nott'],[]
